wavenumber;PC1
2553,694;0,013269906
2551,765;0,012806762
2549,837;0,01214834
2547,908;0,011821165
2545,979;0,0120446
2544,05;0,012374039
2542,121;0,012363134
2540,193;0,012093102
2538,264;0,012020595
2536,335;0,012309097
2534,406;0,012641333
2532,478;0,01260883
2530,549;0,012078763
2528,62;0,011291001
2526,691;0,010662299
2524,762;0,010432353
2522,834;0,010483162
2520,905;0,010611529
2518,976;0,010776583
2517,047;0,010937751
2515,119;0,01085205
2513,19;0,01028396
2511,261;0,009568838
2509,332;0,009277605
2507,404;0,009195749
2505,475;0,009081054
2503,546;0,009316199
2501,617;0,009679382
1799,544;-0,008925225
1797,615;-0,009348795
1795,687;-0,009519645
1793,758;-0,009889498
1791,829;-0,010697209
1789,9;-0,011329923
1787,972;-0,011594025
1786,043;-0,011819254
1784,114;-0,012125831
1782,185;-0,012473418
1780,256;-0,012913167
1778,328;-0,013275175
1776,399;-0,01328656
1774,47;-0,013084375
1772,541;-0,013149605
1770,613;-0,01364275
1768,684;-0,014251423
1766,755;-0,014799399
1764,826;-0,015134239
1762,898;-0,015674506
1760,969;-0,016525505
